AACHEN,Aachen
CSTLTSJ,Castleton South Junction
CSTLUSE,Castleton Up Sidings English Welsh & Scottish Railway
CSTLNRD,Castleton Wagon Repair Depot
CSTLGBR,Castleton Wagon Repair Depot GB Railfreight
CATERHM,Caterham
CATECHS,Caterham Sidings
CATE361,Caterham Signal T1361
CATFORD,Catford
CATHAYS,Cathays
CATHCW,Cathays Carriage & Wagon
CATHCE,Cathays Civil Engineer's Sidings
CATHWRD,Cathays Wagon Repair Depot DB Schenker Cathays Wagon Repair Depot DB Cargo
CCRT,Cathcart
CCRTEJN,Cathcart East Junction
CCRTNJN,Cathcart North Junction
CCRTWJN,Cathcart West Junction
CATTAL,Cattal
CATTHOP,Cattal Hopperton
CTTSTCK,Cattistock Halt
CAUSLND,Causeland
CAVRSWL,Caverswall
CAVRS24,Caverswall Signal CL24
CAWBRNJ,Cawburn Junction
CEDARJN,Cedar Junction
CEFNYBD,Cefn-y-Bedd
CEILYDN,Cei Llydan
CMTRRED,Cemetery (Hartlepool) Steetley Redland
CMTRYNH,Cemetery North Junction
CROY10,Centrale Tram
CERBERE,Cerbere
CESOKWV,Cessnock Water Viaduct
CHACETR,Chacewater
CHDWLHT,Chadwell Heath
CHDWHLJ,Chadwell Heath Junction
CHDWLHR,Chadwell Heath Reception
CHDWHTT,Chadwell Heath Turnback Siding
CHAFRSS,Chaffers Level Crossing (TMO)
CHADHDD,Chafford Hundred
CHAGSCH,Chagford School
CHLFNAL,Chalfont & Latimer
CHLKWEL,Chalkwell
CHALLOW,Challow
CHMS,Chalmerston
CHMSRPG,Chalmerston Ayrshire Railway Preservation Group Dalmellington
CHMSFHH,Chalmerston Freightliner Heavy Haul
CHLVEYS,Chalvey ARC Siding
CHAMCLE,Chambery-Challes-Les-Eaux
CHNELSJ,Channelsea Junction
CHNELUL,Channelsea Up Loop
CHUNCTR,Channel Tunnel Eurotunnel Boundary CTRL
CHUNFRC,Channel Tunnel French Tunnel Crossover
CHUNFRP,Channel Tunnel French Tunnel Portal
CHUNEOB,Channel Tunnel Network Rail/Eurotunnel Operational Boundary Channel Tunnel SNCF/Eurotunnel Operational Boundary Channel Tunnel Railtrack/Eurotunnel Operational Boundary
CHUNUFB,Channel Tunnel UK/French Boundary
CHUNUKC,Channel Tunnel UK Tunnel Crossover
CHUNUKP,Channel Tunnel UK Tunnel Portal
CHEF,Chapel-En-Le-Frith
CHAPLTN,Chapelton
CHPLTWN,Chapeltown
CHPWKSC,Chappel & Wakes Colne
CHPWKSM,Chappel & Wakes Colne Steam Museum
CHARDJN,Chard Junction
CHFIELD,Charfield
CHRXBAL,Charing Cross Ballast
CATZ037,Charing Cross For The Games
CHRNGXG,Charing Cross (Glasgow)
CRNGX,Charing Crossover CTRL
CHRX002,Charing Cross Signal TL1002
CHRX004,Charing Cross Signal TL1004
CHRX016,Charing Cross Signal TL1016
CHBURY,Charlbury
CHBUVIL,Charlbury Village
CHTNJN,Charlestown Junction
CATZCHJ,Charleville
CLVMEZR,Charleville-Mezieres
CRLNXOV,Charlton C&P Crossover
CRLNJN,Charlton Junction
CHLNLSB,Charlton Lane Crossing Signal Box
CMAKREL,Charlton Mackrell
CHARTHM,Chartham
CHARTSD,Chartham Sidings
CHRMSB,Chartham Signal Box
CHRTLCN,Chart Leacon Traction & Rolling Stock Maintenance Depot
CHASNRD,Chassen Road
CHAT65,Chatburn Overbridge 65
CHTLRT,Chatelherault
CHATHAM,Chatham
CHATMDY,Chatham Dockyard
CHATDGB,Chatham Dockyard GB Railfreight
CHATMGS,Chatham Goods Sidings
CHATHML,Chatham Loop
CHHL,Chathill
CHTHAP,Chathill Automatic Power Change Over Site
CHHLCHR,Chathill Christon Bank
CHHSS42,Chathill Signal G42
CHTV,Chatterley Valley
CHDH,Cheadle Hulme
CHDHNJ,Cheadle Hulme North Junction
CHDHSJ,Cheadle Hulme South Junction
CHDLJN,Cheadle Junction
CHEAM,Cheam
CHDNGTN,Cheddington
CHTMHCS,Cheetham Hill Carriage Sidings
CHTMHJN,Cheetham Hill Junction
CHELFD,Chelford
CHELFDL,Chelford Loop
CHLMSFD,Chelmsford
CHLMABL,Chelmsford Arbour Lane
CHLMBPK,Chelmsford Beaulieu Park
CHLMBHC,Chelmsford Brick House Crossover
CHLMDGL,Chelmsford Down Goods Loop
CHLMNGF,Chelmsford New Hall Ground Frame
CHLMSFR,Chelmsford Reception
CHLMGBF,Chelmsford Reception GB Railfreight
CHLM713,Chelmsford Signal L713
CHLSFLD,Chelsfield
CHLTALC,Cheltenham Alstone Level Crossing
CHLTNHS,Cheltenham High Street Loop
CHLTLDL,Cheltenham Lansdown Loop
CHLTRAC,Cheltenham Racecourse
CHLT420,Cheltenham Signal G420
CHLT422,Cheltenham Signal G422
CHLTNHM,Cheltenham Spa
CHEPSTW,Chepstow
CHEPEGF,Chepstow East Ground Frame
CHEP421,Chepstow Signal NT6421
CHERITO,Cheriton Eurotunnel Depot
CHERTNH,Cheriton Halt
CHERTNJ,Cheriton Junction
CHRYHNT,Cherry Hinton
CHTR,Cherry Tree
CHSM,Chesham
CHESHNT,Cheshunt
CHESCJ7,Cheshunt Signal CJ7
CHES139,Cheshunt Signal L1395
CHSSCCD,Chessington South Sidings
CHSS161,Chessington South Signal W1161
CHSSUSD,Chessington South Up Siding
CHST,Chester
CHSTBLP,Chester Bache Loop
CHSTRBL,Chester Ballast Hole Sidings
CHSTCE,Chester Brook Lane Civil Engineer's Sidings
CHSTST,Chester Brook Lane Signalling & Telecommunications Engineer's Sidings
CHSTRCW,Chester Carriage & Wagon Maintenance Depot
CHSTRDD,Chester Diesel Multiple Unit Depot/Traincare Depot
CHSTRDT,Chester Down Through Line
CHSTREJ,Chester East Junction
CHFD,Chesterfield
CHFDDS,Chesterfield Down Sidings
CHFDSJ,Chesterfield South Junction
CHFDS13,Chesterfield Sub-Signal S13
CHFDS14,Chesterfield Sub-Signal S14
CLST,Chester-Le-Street
CLSTOXO,Chester-Le-Street Ouston Crossovers
CLSTPLA,Chester-Le-Street Plawsworth
CHSTRMY,Chester Middle Yard
CHSTRNJ,Chester North Junction
CHSRD,Chester Road
CHSTRJN,Chester Roodee Junction
CHST97,Chester Signal CR97
CHST106,Chester Signal CR106
CHST527,Chester Signal CR527
CHST528,Chester Signal CR528
CHSTRSJ,Chester South Junction
CESTRTJ,Chesterton Junction
CESTAZ1,Chesterton Junction Advenza Freight 1
CESTAZ2,Chesterton Junction Advenza Freight 2
CESTRTB,Chesterton Junction Ballast
CESTFHH,Chesterton Junction Freightliner Heavy Haul
CESTGBR,Chesterton Junction GB Railfreight
CESTRNJ,Chesterton Junction Yard North
CESTRTR,Chesterton Redland Siding
CHSTUDG,Chester Up & Down Goods Loop
CHSTRWJ,Chester West Junction
CHSTYD,Chester Yard
CHETNOL,Chetnole
CHTISHM,Chettisham
CHVNGTN,Chevington Loop
CHVNLDS,Chevington Loop Down Siding
CHVNNC,Chevington North Crossovers
CHCHSOS,Chichester Oil Sidings
CHCHSTY,Chichester Reception
CHCHDBC,Chichester Reception DB Cargo
CHCHFHH,Chichester Reception Freightliner Heavy Haul
CHCHGBR,Chichester Reception GB Railfreight
CHCHRC2,Chichester Reception No 2
CHCH307,Chichester Shunt Signal 307
CHICHST,Chichester Signal Box
CHCYSTR,Chichester Yard Stone Terminal Road
CATZQCD,Chiltern Destination
CATZQCO,Chiltern Origin
CHNHAM,Chineham
CHINGFD,Chingford
CHINCSD,Chingford Carriage Servicing Depot
CHINCS5,Chingford Country End Sidings
CHINCS4,Chingford London End Sidings
CHIN557,Chingford Signal L557
CHNLY,Chinley
CHNLYCL,Chinley Chord Line
CHNLYEJ,Chinley East Junction
CHNLYNJ,Chinley North Junction
CHNLYSB,Chinley Signal Box
CHNL159,Chinley Signal CY159
CHNL168,Chinley Signal CY168
CHNLYSJ,Chinley South Junction
CHNRBVH,Chinnor Bledlow Village Hall
CATZ012,Chinnor By Rail
CHNRCSD,Chinnor Cement Sidings
CHNRESW,Chinnor Estover Way
CHNRLOW,Chinnor Lower Road
CHNRRED,Chinnor The Red Lion
CHNRWHT,Chinnor The Wheatsheaf
CHIPNHM,Chippenham
CHIPCOK,Chippenham Cocklebury Road
CHPNJN,Chippenham Junction
CHIPNEW,Chippenham New Road Bus Stop
CHPCMD,Chipping Campden
CHNOBUS,Chipping Norton West Street
CHPSDBY,Chipping Sodbury
CHPSDSG,Chipping Sodbury Sidings
CHIRK,Chirk
CHIRKCS,Chirk Cadbury Schweppes
CHIRKKN,Chirk Kronospan
CHIRKKA,Chirk Kronospan AMEC/Colas
CHIRKWR,Chirk Weston Rhyn
CHSLHRS,Chislehurst
CHSLARC,Chislehurst ARC
CHSLHRJ,Chislehurst Junction
CHSLSB,Chislehurst Signal Box
CHSL22,Chislehurst Up Chatham Loop Signal AD22
CHSLTSH,Chislet Colliery Halt
CHISCSB,Chislet Colliery Signal Box
CHISWCK,Chiswick
CHSPLUL,Chiswick Park LT
CHITSHL,Chitts Hill
CHOLSEY,Cholsey
CHORLEY,Chorley
CHORBUK,Chorley Buckshaw Parkway originally to have been named Buckshaw Village; see also Buckshaw Parkway
CHORROF,Chorley Royal Ordnance Factory
CHRW,Chorleywood
CHRW,Chorleywood LT
CHRISTC,Christchurch
CRISTSJ,Christian Street Junction
CHRSBUS,Christs Hospital Barns Grin Road
CHRSTSB,Christs Hospital Signal Box
CHOS,Church & Oswaldtwistle
CHFN,Church Fenton
CHFNNJN,Church Fenton North Junction
CHURCHL,Church Lane Level Crossing
CPPITSD,Church Path Pit Sidings
CROY11,Church Street Tram
CSTR,Church Stretton
CILMERY,Cilmeri
CATZCCR,Cirencester
CTMS664,City Thameslink Signal VC664
CLHY,Clachnaharry
CLACTCS,Clacton Carriage Servicing Depot
CLACDS,Clacton Down Sidings
CLACTON,Clacton-On-Sea
CLACRR,Clacton Run Round Road
CLAC180,Clacton Signal CO1180
CLAC183,Clacton Signal CO1183
CLACTWR,Clacton Wash Road
CLACWHL,Clacton Wheel Lathe
CLANDON,Clandon
CLPHJNB,Clapham Junction B
CLPHCMD,Clapham Junction Carriage Maintenance Depot
CLPHJCS,Clapham Junction Carriage Sidings
CLPHMJC,Clapham Junction Central Lines
CATZ049,Clapham Junction For The Games
CLPHJKS,Clapham Junction Kensington Siding
CLPHJLP,Clapham Junction Loop
CLPHMJM,Clapham Junction Main Lines
CLPHMMS,Clapham Junction Middle Siding
CLPHPHS,Clapham Junction Pig Hill Siding
CLPHMJ1,Clapham Junction Platform 1
CLPHMJ2,Clapham Junction Platform 2
CLPJSB,Clapham Junction Signal Box
CLPH049,Clapham Junction Signal CY49
CLPH122,Clapham Junction Signal CY122
CLPH587,Clapham Junction Signal TVC587
CLPH595,Clapham Junction Signal TVC595
CLPH141,Clapham Junction Signal VC141
CLPH143,Clapham Junction Signal VC143
CLPH144,Clapham Junction Signal VC144
CLPH147,Clapham Junction Signal VC147
CLPH150,Clapham Junction Signal VC150
CLPH289,Clapham Junction Signal VC289
CLPH149,Clapham Junction Signal W149
CLPH041,Clapham Junction Signal W1041
CLPHS47,Clapham Junction Signal W1047
CLPHS49,Clapham Junction Signal W1049
CLPHMJW,Clapham Junction Windsor Lines
CLPM,Clapham North Yorkshire
CLPHMYS,Clapham Yard Sidings
CLPHY11,Clapham Yard Signal CY11
CLAPTON,Clapton
CLAPTNJ,Clapton Junction
CATZCLQ,Clara
CLARBRD,Clarbeston Road
CLRBROJ,Clarborough Junction
CATZCMI,Claremorris
CLRNCEP,Clarence Pier
CRHRTLP,Clarence Road Junction
CLRKSTN,Clarkston
CLAVRDN,Claverdon
CLAYHAS,Clay Cross Hasland
CLAYXNJ,Clay Cross North Junction
CLAYXS,Clay Cross Sidings
CLAYXSJ,Clay Cross South Junction
CLAYSTR,Clay Cross Stretton
CYDNEHS,Claydon East Headshunt
CYDNEJN,Claydon East Junction
CYDNHS2,Claydon HS2 Boundary
CYDNJN,Claydon London & North Eastern Junction
CYDNLPS,Claydon Loops
CYDNRCS,Claydon Reception Line
CLDON,Claydon (Suffolk)
CYDNWHS,Claydon West Headshunt
CYDNWJN,Claydon West Junction
CLYGATE,Claygate
CLAYLSB,Clay Lane Crossing Signal Box
CLMLJN,Clay Mills Junction
CLPLLP,Claypole Loop
CLYTNWJ,Clayton West Junction
CLTHRPS,Cleethorpes
CLELAND,Cleland
CLELACE,Cleland Civil Engineer
CLKNWL,Clerkenwell Crossovers
CLIFFE,Cliffe
CLFFBM,Cliffe Brett Marine
CLFFBMG,Cliffe Brett Marine GB Railfreight
CLIFHGF,Cliffe Hill Ground Frame
CLIFHLS,Cliffe Hill Sidings
CLIFHSF,Cliffe Hill Stud Farm
CLIFCRL,Cliffe Hill Stud Farm Colas
CLIFFHH,Cliffe Hill Stud Farm Freightliner Heavy Haul
CLIFGBR,Cliffe Hill Stud Farm GB Railfreight
CLIFHSQ,Cliffe Hill Stud Farm Quarry
CLIFLHH,Cliffe Hill Stud Farm Tarmac
CLFFD12,Cliffe Signal D12/NK509
CLFHJN,Cliff House Junction
CLFH110,Cliff House Up Goods Loop Signal GM7110
CLTN,Clifton
CLFT,Clifton & Lowther
CLFDOWN,Clifton Down
CLNKRDJ,Clink Road Junction
CLIPFHH,Clipstone Colliery Freightliner Heavy Haul
CLIPCJN,Clipstone Colliery Junction
CLPSTEJ,Clipstone East Junction
CLIPSBC,Clipstone RJB Mining
CLPSTSJ,Clipstone South Junction
CLPSTWJ,Clipstone West Junction
CLITHRO,Clitheroe
CLITCC,Clitheroe Castle Cement
CLITFHH,Clitheroe Castle Cement Freightliner Heavy Haul
CLITGBR,Clitheroe Castle Cement GB Railfreight
CLITHJN,Clitheroe Horrocksford Junction
CLOCKHS,Clock House
CLONMEL,Clonmel
CLOBURN,Closeburn (Dumfries)
CATZCLZ,Cloughjordan
CLYNDRW,Clunderwen
CLUNSIB,Clunes Intermediate Block Post
CLNYBDJ,Clunybridge Junction
CLDACH,Clydach On Tawe Inco Europe
CLYBANK,Clydebank
COALFDF,Coalfields Farm NCB
COALVIL,Coalville
COALJN,Coalville Junction
COATBDC,Coatbridge Central
COATDGL,Coatbridge Down Goods Loop
COATDRS,Coatbridge Down Refuge Siding
COATFLT,Coatbridge Freightliner Terminal
COATSNK,Coatbridge Freightliner Terminal Shunt Neck
COATBDJ,Coatbridge Junction
SIGM238,Coatbridge Signal M238
COAT250,Coatbridge Signal M250
COAT253,Coatbridge Signal M253
COAT254,Coatbridge Signal M254
COATBDS,Coatbridge Sunnyside
COATDYK,Coatdyke
COBB,Cobbinshaw
COBB712,Cobbinshaw Signal EJ712
COBB713,Cobbinshaw Signal EJ713
CATZCOQ,Cobh
CBHMSDA,Cobham & Stoke d'Abernon
CCKNZPS,Cockenzie Power Station
CCKNFHH,Cockenzie Power Station Freightliner Heavy Haul
CCKN833,Cockenzie Signal EA833
CCKNYRD,Cockenzie Yard
COCKETW,Cockett West
CCKFLUL,Cockfosters LT
CCBNPH,Cocksburnspath
CODFORD,Codford
CDNRPFM,Codnor Park Forge & Monument Siding
CDNRFHH,Codnor Park Forge & Monument Siding Freightliner Heavy Haul
CDNRPKJ,Codnor Park Junction
CDNRT92,Codnor Park Junction Signal TT92
CDNRPSS,Codnor Park South Sidings
CODSALL,Codsall
CODBCHW,Coedbach Washery
COFTONS,Cofton Junction
COGAN,Cogan
COGANJ,Cogan Junction
COGLOAD,Cogload Junction
COKEOVJ,Coke Ovens Junction
CLCHSTR,Colchester
CLCHUCS,Colchester Bridge Road Up Clacton Siding
CLCHCJN,Colchester Colne Junction
CLCHFL,Colchester Down Goods Loop Freightliner
CLCHEGJ,Colchester East Gate Junction
CLCHGL,Colchester Goods Loop
CLCHSPR,Colchester Goods Shunt Spur
CLCHHYT,Colchester Hythe
CLCHHCD,Colchester Hythe Charrington Coking Depot
CLCHLIP,Colchester Locomotive Inspection Point
CLCHREC,Colchester Reception Line
CLCHS16,Colchester Signal CO16
CLCH196,Colchester Signal CO196
CLCH750,Colchester Signal CO750
CLCH751,Colchester Signal CO751
CLCH822,Colchester Signal CO822
CLCH011,Colchester Signal CO1011
CLCH033,Colchester Signal CO1033
CLCH072,Colchester Signal CO1072
CLCH080,Colchester Signal CO1080
CLCH138,Colchester Signal CO1385
CLCH013,Colchester Signal CO4013
CLCHSWY,Colchester Stanway
CLCHRTN,Colchester Town
CLCHUP,Colchester Up Passenger Loop
CLCHUSS,Colchester Up Sudbury Siding (Sudbury Dock)
CLCHSTY,Colchester Yard
COLDHAM,Coldham
CLDHDGL,Coldham Lane Down Goods Loop
CLDHMLJ,Coldham Lane Junction
CLDHMLL,Coldham Lane Ladder
CLDH733,Coldham Lane Shunt Signal CA733
CLDH200,Coldham Lane Signal CA200
COLFORD,Coleford (Network Rail/Dean Forest Railway Boundary)
COLHM,Coleham
COLHLMD,Coleham Light Maintenance Depot
COLHMSS,Coleham Shelf Sidings
CATZCEI,Coleraine
COLESH,Coleshill
CLSHDCL,Coleshill DCL
COLESHL,Coleshill Parkway
COLE972,Coleshill Parkway Signal 1972
COLL,Coll
CLHM,Collingham
CLNGTRJ,Collingtree Road Junction
CATZCOU,Collooney
CLYHRSS,Collyhurst Street
CLYHGBF,Collyhurst Street GB Railfreight
CLYHRST,Collyhurst Street Tilcon
CNBKBAG,Colnbrook BAA GB Railfreight
CNBKBAA,Colnbrook BAA Logistics
CNBKBCI,Colnbrook BCI
CNBKCRR,Colnbrook Colas Rail
CNBKELF,Colnbrook Elf Oil Siding
CNBKFY,Colnbrook Foster Yeoman
CNBKFHH,Colnbrook Freightliner Heavy Haul
CNBKLAF,Colnbrook Lafarge Freightliner Heavy Haul
CNBKGBR,Colnbrook Lafarge GB Railfreight
CNBK502,Colnbrook Signal T3502
CNBK503,Colnbrook Signal T3503
CNBK511,Colnbrook Signal T3511
CNBK512,Colnbrook Signal T3512
CNBKSTB,Colnbrook Stop Board
COLNE,Colne
COLONSY,Colonsay
CNESCOS,Coltness Costain
CNESWAT,Coltness Watsonhead Terminal
COLTONJ,Colton Junction
COLTONN,Colton North Junction
COLTONS,Colton South Junction
CLWALL,Colwall
COLWICH,Colwich
COLWHXN,Colwich Hixon
CBAY,Colwyn Bay
CMBESEA,Combe Martin Seaside Bus
COMBE,Combe (Oxon)
COMONDL,Commondale
CONYGNJ,Coney Green Junction
CONGLTN,Congleton
CONGCE,Congleton Civil Engineer's Sidings
CONBRGH,Conisbrough
CONBCAD,Conisbrough Cadeby Up Goods Loop
CONB883,Conisbrough Ground Position Light Signal S883
CONBNLS,Conisbrough North Limit Of Shunt
CONB125,Conisbrough Signal S1125
CONBSLS,Conisbrough South Limit Of Shunt
CONNELF,Connel Ferry
CNNGABR,Connington Abbots Ripton
CNNGALC,Connington Alconbury
CNNGTNL,Connington Loop
CNNGSJN,Connington South Junction
CNNGTIP,Connington Tip
CNNGFHH,Connington Tip Freightliner Heavy Haul
CONONBR,Conon Bridge
CONONLY,Cononley
CONOKIL,Cononley Kildwick
CONTJN,Continental Junction
CONWY,Conwy
CODNBCH,Cooden Beach
COOKHAM,Cookham
COKSBDG,Cooksbridge
COOMBE,Coombe (Cornwall)
CROY12,Coombe Lane Tram
COOMMOR,Coombe Moorswater ECC Sidings Imerys
COOMLAR,Coombe Moorswater Lafarge
COOMTCR,Coombe Moorswater Tarmac Colas
COOMJGF,Coombe No 1 Ground Frame
COOMGF2,Coombe No 2 Ground Frame
CMRD,Coombe Road
COPHWJN,Copley Hill West Junction
COPRMLJ,Coppermill Junction
COPR105,Coppermill Junction Signal L1005
COPLSTN,Copplestone
CPYHLDJ,Copyhold Junction
COPYPIT,Copy Pit
CRBTLNJ,Corbetts Lane Junction
CRBG,Corbridge
CORBY,Corby
CORBAUT,Corby Auto Link Hub
CORBBSC,Corby BSC
CORBGFC,Corby BSC Automotive Terminal
CORBGRT,Corby Gretton
CORBHSB,Corby Harringworth Signal Boxsee also Harringworth Signal Box
CORBLEW,Corby Lewin Road
CORBYNJ,Corby North Junction
CORBOAK,Corby Oakley Road
CORBRRL,Corby Reception/North Run Round Line
CORBROC,Corby Rockingham Road
CORBSV,Corby Seaton Viaduct
CORBYS,Corby Sidings
CORB974,Corby Signal KM3974
CORBJ15,Corby Signal MJ15
CORB24,Corby Signal MJ24
CORBTOC,Corby Town Centre
CVLESBY,Core Valley Lines East Boundary
CVLWSBY,Core Valley Lines West Boundary
CORK,Cork
CORKBIF,Cork B&I Ferryport
CKHL,Corkerhill
CKHLCSD,Corkerhill Carriage Servicing & Maintenance Depot
CKHLCSJ,Corkerhill Depot Junction
CRCK,Corkickle
CRCKNO1,Corkickle No1
CRCKNO2,Corkickle No2
CORKRNG,Cork Ringaskiddy Ferryport
CORKTIV,Cork Tivoli Ferryport
CRNBRKJ,Cornbrook Junction
CORNTON,Cornton
CORNTLC,Cornton Level Crosssing
CORPACH,Corpach
CORPFLT,Corpach Freightliner Terminal
CORPGBR,Corpach GB Railfreight
CORPCPM,Corpach Pulp Mill
CORROUR,Corrour
CORROCE,Corrour Civil Engineer
CORSHAM,Corsham
CORSNEW,Corsham Newlands Road
CORWEN,Corwen The Square
CBGCHMG,Corys Siding
CORYTON,Coryton
COSELEY,Coseley
COSFORD,Cosford
COSFDGL,Cosford Down Goods Loop
COSFTAM,Cosford Tamper Siding
COSFUGL,Cosford Up Goods Loop
COSHAM,Cosham
COSHAMJ,Cosham Junction
COTONH,Coton Hill (Shrewsbury) Yard
COTOCLS,Coton Hill (Shrewsbury) Yard Colas
COTONDB,Coton Hill (Shrewsbury) Yard DB Schenker
COTOGBR,Coton Hill (Shrewsbury) Yard GB Railfreight
COTAMCW,Cottam Carriage & Wagon English Welsh & Scottish Railway
COTAMPS,Cottam Power Station
COTAFHH,Cottam Power Station Freightliner Heavy Haul
COTAGBF,Cottam Power Station GB Railfreight
CTTGHM,Cottingham
COTNGLY,Cottingley
COLSDNS,Coulsdon South
COLSTWN,Coulsdon Town previously named Smitham
COLS369,Coulsdon Town Signal T1369
CATZQCF,Countryfile Live
CTENHLJ,Courteenhall Junction
CRTHLPJ,Courthill Loop Junction
CTSARTJ,Court Sart Junction
CVEBAY,Cove Bay
COVELC,Cove Level Crossing
COVNTRY,Coventry
COVAREN,Coventry Arena
COVNCE,Coventry Civil Engineer's Sidings
COVNCOL,Coventry Colliery/Prologis Park
COVNCRD,Coventry Coundon Road Level Crossing
COVNGHJ,Coventry Gibbet Hill Junction
COVNNJN,Coventry North Junction
COVNNY,Coventry North Yard
COVNOLM,Coventry Olympic Games
COVNPKJ,Coventry Park Junction
COVN538,Coventry Signal CN1538
COVN517,Coventry Signal LC6517
COVN532,Coventry Signal LC6532/CB1532
COVNYD,Coventry Yard
CWBRDSB,Cowbridge Road Signal Box
COWDEN,Cowden
CWDNBTH,Cowdenbeath
CWDN941,Cowdenbeath Signal EC941
COWDBUS,Cowden Crossroads
COWESSP,Cowes by Ship
COWESE,Cowes (East)
COWESTW,Cowes Thetis Wharf
COWESW,Cowes (West)
COWESWH,Cowes (West) Hoverport
COWGRNX,Cow Green Crossover
CWLRCSD,Cowlairs Carriage Servicing Depot
CWLRDPL,Cowlairs Down Passenger Loop
CWLRDS,Cowlairs Down Sidings
CWLRSEJ,Cowlairs East Junction
CWLRC79,Cowlairs East Junction Signal C79
CWLRSNJ,Cowlairs North Junction
CWLRSB,Cowlairs North Junction Signal Box
CWLRBOX,Cowlairs Signalbox
CWLR604,Cowlairs Signal CE604
CWLRSSJ,Cowlairs South Junction
CWLRSGL,Cowlairs West Goods Loop
CWLRSWJ,Cowlairs West Junction
CWLRSPL,Cowlairs West Passenger Loop
CWLYBDG,Cowley Bridge Junction
COWLEYH,Cowley Hill
COWPBUS,Cowplain Shops Bus Stop
CRABTRS,Crabtree Sidings
CRADLYH,Cradley Heath
CRGHLSB,Crag Hall Signal Box
CRGHSC1,Crag Hall Signal C1
CRAGMLD,Crag Mill Down Loop
CRAGMIL,Crag Mill Loop
CRAGMLU,Crag Mill Up Loop
CRGDRN,Craigendoran
CRGDRNJ,Craigendoran Junction
CRGDRCE,Craigendoran Junction Civil Engineer's Sidings
CRGD963,Craigendoran Signal YC963
CRGDWHL,Craigendoran West Highland Line
CRGNFHH,Craigentinny GNER/Freightliner Heavy Haul
CRGNTYJ,Craigentinny Junction
CRGNTPS,Craigentinny Portobello Sidings
CRGN624,Craigentinny Signal EP624
CRGN860,Craigentinny Signal EP860
CRGNTNY,Craigentinny Traction & Rolling Stock Maintenance Depot
CRGICBC,Craiginches (Aberdeen) Blue Circle/Lafarge
CRGICCE,Craiginches (Aberdeen) Civil Engineer
CRGICLR,Craiginches (Aberdeen) Colas Rail
CRGIDRS,Craiginches (Aberdeen) Direct Rail Services
CRGIDSL,Craiginches (Aberdeen) Down Siding Loop
CRGIFHH,Craiginches (Aberdeen) Freightliner Heavy Haul
CRGIRSL,Craiginches (Aberdeen) G Russell
CRGNSNS,Craiginches (Aberdeen) North Sidings
CRGISTH,Craiginches (Aberdeen) South
CRGICHY,Craiginches (Aberdeen) Yard
CRLORTJ,Craiglockhart Junction
